ID,채용 채널,이름,지원일,포지션,현황,HR,불합격 사유,서류심사,1차면접,2차면접,최종결과
APPS-17,링크드인,후보102,2026년 6월 19일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-16,원픽-잡코리아,후보141,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,No,,불합격,,,
APPS-15,원티드,후보142,2026년 6월 18일,B2B 영업 매니저 (3년 이상),종료,No,,불합격,,,
APPS-14,링크드인,후보143,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-13,링크드인,후보144,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-12,링크드인,후보145,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-11,링크드인,후보084,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,"불합격 - 경력/역량 부족, 불합격 - 회사/지원자 FIT",불합격,,,
APPS-10,링크드인,후보146,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-9,링크드인,후보147,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-8,링크드인,후보148,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
APPS-7,링크드인,후보149,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-6,링크드인,후보150,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-5,링크드인,후보151,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-4,원티드,후보132,2026년 6월 18일,B2B 영업 매니저 (5년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-3,원티드,후보152,2026년 6월 18일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 허수 지원,불합격,,,
APPS-2,원티드,후보081,2026년 6월 18일,B2B 영업 매니저 (3년 이상),종료,Yes,불합격 - 경력/역량 부족,불합격,,,
